Model,Scenario,Region,Country code,Variable,Unit,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
OECD ENV-Growth 2023,SSP1,Belize,BLZ,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,7752.25,10293.2,11069.2,12628.4,15012.3,18214,22060,26510.3,31651.8,37530,44004.3,51023.1,58449.7,66248.5,74411.9,82950.9,91864.7
OECD ENV-Growth 2023,SSP1,Bolivia,BOL,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,7727.7,8482.3,9020.95,10093.2,11981.5,14686.3,18106.3,22216.3,27054.1,32607.3,38784.9,45541.2,52888.5,60845.2,69425.5,78608.8,88392.5
OECD ENV-Growth 2023,SSP1,Brazil,BRA,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,13811.4,15713.2,16811.5,19111,22483,26896.5,32104.9,37992.7,44512.1,51716.2,59404.4,67543.2,75948.1,84550.9,93308.8,102183,111148
OECD ENV-Growth 2023,SSP1,Barbados,BRB,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,13828.8,16817.1,18600.2,21043.1,24470.6,28691.6,33361.9,38356.5,43765.3,49615,55731.7,62051.2,68536.1,75226.2,82153.3,89370.1,96966.3
OECD ENV-Growth 2023,SSP1,Brunei Darussalam,BRN,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,61858.3,60502.6,68154.3,75135.5,79623.7,82156.1,83693.9,85072.4,86797.1,89083.3,91239.9,93464.1,95671.1,97978.9,100549,103524,106945
OECD ENV-Growth 2023,SSP1,Bhutan,BTN,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,10910.1,12143.8,14367.9,16785.6,19596.6,22877.4,26463.9,30459.5,34963.9,40056.7,45466,51096.2,56842.9,62555.9,68343.7,74227.4,80223.4
OECD ENV-Growth 2023,SSP1,Botswana,BWA,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,13668.3,16873.5,19220.5,21910.2,24749.6,27830.9,31183.2,34929.5,39141.8,43747.4,48665.8,53908,59563.4,65658.2,72273.8,79393,87057.6
OECD ENV-Growth 2023,SSP1,Central African Republic,CAF,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,858.802,820.945,902.062,1118.02,1438.19,1896.94,2514.15,3321.24,4368.16,5691.23,7311.55,9281.86,11649.8,14462.1,17800.5,21739.5,26333.6
OECD ENV-Growth 2023,SSP1,Canada,CAN,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,43696.3,48180.6,52435.9,57803.4,64298.3,71207,77662,83906.7,90080.6,96401,102678,108719,114532,120246,126035,131923,137787
OECD ENV-Growth 2023,SSP1,Switzerland,CHE,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,66108.7,71723.6,74318.7,77527.5,80812.3,84054.3,86973.2,89966.3,93396.7,97375.8,101540,105646,109629,113472,117211,120797,124160
OECD ENV-Growth 2023,SSP1,Chile,CHL,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,21366.2,25046.7,26555.6,29319.9,33087.2,37789.3,42906.9,48166.9,53555.5,59256.8,65179.8,71056.4,76699.9,82040,87049.8,91680,95833.9
OECD ENV-Growth 2023,SSP1,China,CHN,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,16514.2,21134.3,25632.2,30399.1,35049.8,40160.1,45433.4,50716.4,56430,62535.1,68463.1,74023.9,79367.3,84616,89788.9,94762.3,99411.5
OECD ENV-Growth 2023,SSP1,C�te d'Ivoire,CIV,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,5156.43,6372.99,7930.08,9977.17,12234.8,14785.2,17624.7,20821.7,24480.2,28611.5,33204,38268.9,43716.5,49493.1,55641.8,62198.8,69238.2
OECD ENV-Growth 2023,SSP1,Cameroon,CMR,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,3725.98,4028.29,4606.95,5546.34,6776.47,8346.28,10240.1,12497.6,15213.5,18430.5,22133.7,26369.8,31134.7,36483.8,42450.6,49070,56389.9
OECD ENV-Growth 2023,SSP1,Democratic Republic of the Congo,COD,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,1092.81,1280.62,1463.2,1759.33,2237.54,2916.92,3801.52,4913.92,6302.81,8004.56,10044.5,12451.5,15263.6,18534.2,22346.3,26766.8,31870.2
OECD ENV-Growth 2023,SSP1,Congo,COG,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,3793.45,3913.9,4311.55,4868.64,5621.75,6605.03,7805.53,9268.76,11053.6,13187.5,15651.1,18482.5,21697.4,25304.2,29321.4,33773.4,38710.7
OECD ENV-Growth 2023,SSP1,Colombia,COL,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,12522.4,15265.6,17177.1,20273.3,24633.6,30005.4,35902.2,42168,48784.1,55753.9,62976.7,70318.3,77631.2,84865.2,92008.3,99022.9,105828
OECD ENV-Growth 2023,SSP1,Comoros,COM,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,3254.12,3452.94,3969.68,4872.77,6647.99,9283.23,12515.5,16196,20316.3,24844.6,29721.2,34918.8,40418.6,46206.8,52326.9,58814.3,65741.9
OECD ENV-Growth 2023,SSP1,Cabo Verde,CPV,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,6195.38,8430.9,10284.7,12476.2,14756,17102.9,19412.1,21788.2,24340.9,27167.6,30184.5,33326.1,36488.7,39667.9,42903.4,46224.2,49618.4
OECD ENV-Growth 2023,SSP1,Costa Rica,CRI,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,18231.6,22561.5,25317.2,29491.9,34423.4,39880.4,45470.6,51179.9,57119.9,63269.1,69327.5,75211.6,80794.7,86138.7,91258.3,96135.9,100703
OECD ENV-Growth 2023,SSP1,Cuba,CUB,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,6128.75,7389.48,9304.12,11936.3,15754.5,20668,26563.4,33313.1,40897.2,49341.9,58448,68090,78145.8,88592.5,99474.4,110779,122377
OECD ENV-Growth 2023,SSP1,Cyprus,CYP,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,28547.3,33382.5,37592.7,42252.7,47147.4,52061.8,56700.7,61420.1,66525.1,72112.2,77936.8,83881.8,89960.7,96297.9,103005,110077,117416
OECD ENV-Growth 2023,SSP1,Czechia,CZE,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,36777.7,39099.2,42956.4,47290.4,52056.5,56730.7,60859.6,64894.5,68991.2,73403.3,77924.2,82296.7,86343.7,90030,93430.8,96641.9,99648.9
OECD ENV-Growth 2023,SSP1,Germany,DEU,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,48022.3,51107.9,54149.4,57984.6,62937.9,68418.4,73630.3,78599,83545,88594.7,93537.1,98259.7,102662,106732,110549,114157,117507
OECD ENV-Growth 2023,SSP1,Djibouti,DJI,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,4793.83,5734.95,7212.13,9512.53,11836.7,14231.2,16746.7,19457.9,22479.4,25848.2,29463.5,33313.1,37366.1,41589.6,46104.4,50981.7,56226.5
OECD ENV-Growth 2023,SSP1,Denmark,DNK,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,51436.4,57753.2,61110,64976.8,69485.2,74436,79160.6,83679.6,88182.2,92798.3,97113,100987,104504,107701,110655,113463,116028
OECD ENV-Growth 2023,SSP1,Dominican Republic,DOM,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,16860.9,21528.1,26514,32432.1,38935.5,45889.7,52873.6,59901.8,67140.2,74738.8,82527.3,90476.4,98517.9,106641,114942,123465,132263
OECD ENV-Growth 2023,SSP1,Algeria,DZA,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,10761.5,11686.2,12115.1,13060.5,14376.7,16245.8,18609.6,21567.4,25286.3,29839.5,35037.1,40829.4,47209.6,54265,62132.4,70892,80529.7
OECD ENV-Growth 2023,SSP1,Ecuador,ECU,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,10417.1,11223.7,12322.3,13937,16173.5,18994.3,22218.5,25823.9,29881.6,34407.5,39267.4,44396.7,49704.1,55182.2,60826.3,66635.5,72594.7
OECD ENV-Growth 2023,SSP1,Egypt,EGY,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,12095.7,13933.7,17308.6,22099,28349.6,35864.3,44192,53282.5,63218.5,73907.8,84875.6,96184.1,107839,119927,132500,145694,159503
OECD ENV-Growth 2023,SSP1,Eritrea,ERI,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,1738.39,1848.56,2062.47,2503.85,3230.29,4297.9,5709.28,7485.97,9676.7,12319.8,15437.8,19104.4,23295.3,28002,33261.4,39151.5,45739.3
OECD ENV-Growth 2023,SSP1,Western Sahara,ESH,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,1781.7,1934.8,2014.02,2282.1,2753.09,3460.18,4397.95,5623.26,7235.52,9334.63,11972.8,15233.4,19207.2,23985.8,29680.6,36412,44288.1
OECD ENV-Growth 2023,SSP1,Spain,ESP,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,33691.3,39907.1,42525.4,46448.1,51397.4,56897.1,62388.3,68172.7,74328.3,80664.6,86689.5,92291.8,97425.3,102194,106651,110913,115007
OECD ENV-Growth 2023,SSP1,Estonia,EST,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,33632.8,35551.7,43270.8,49571.3,54923.5,58776.4,61495.1,63922.8,66664.8,69586.9,72324.9,74730,76752.6,78439.3,79871.1,81079,82053.2
OECD ENV-Growth 2023,SSP1,Ethiopia,ETH,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,2316.68,2812.94,3598.71,4691.95,6118.61,7944.2,10137,12739.6,15840.2,19548.8,23838,28773.4,34323.5,40448.7,47203.8,54667.3,62900.6
OECD ENV-Growth 2023,SSP1,Finland,FIN,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,44698.9,47958.5,51765.7,55543.7,59955.6,64631.3,69007.3,73540.1,78354.8,83347.6,88143.5,92648.8,96950,101284,105671,110029,114139
OECD ENV-Growth 2023,SSP1,Fiji,FJI,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,10990.5,14214,16548.9,19659.8,23830.7,28987.3,34843.3,41374.1,48660.4,56623.8,65203.8,74350.5,84001.1,94175.1,104780,115841,127312
OECD ENV-Growth 2023,SSP1,France,FRA,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,41815.3,46407.6,49667.4,52918.4,56611.8,60626,64721.8,68966.1,73429.5,78051.6,82627.1,87117.5,91574.9,96082.6,100710,105362,109935
OECD ENV-Growth 2023,SSP1,Micronesia,FSM,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,3024.8,3103.23,3240.45,3748.7,4777.56,6442.73,8791.47,11943.3,16056.7,21261.5,27626.6,35247.7,44167,54396.4,65941,78724.9,92697.3
OECD ENV-Growth 2023,SSP1,Gabon,GAB,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,14054.2,14398.7,15471.7,17548.8,19847,22335.4,24945.3,27781.8,31005.7,34677.8,38655.8,42873.6,47254.5,51791.4,56532.4,61553.2,66898.8
OECD ENV-Growth 2023,SSP1,United Kingdom,GBR,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,39953.4,45758,49235,53779.8,59837.8,67031.4,74352.5,81807.8,89571.2,97529,105194,112342,118997,125319,131414,137288,142747
OECD ENV-Growth 2023,SSP1,Georgia,GEO,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,13794.2,20429.2,27897.1,37606.9,47253.3,55587.4,62215.5,67897,73318,78531.6,83176.5,87352.9,91265.5,95168.5,99210.7,103398,107707
OECD ENV-Growth 2023,SSP1,Ghana,GHA,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,5318.26,5695.14,6765.46,8206.01,9980.3,12130.6,14612.6,17507.2,20907.3,24870.5,29269.5,34130.2,39453.4,45269.6,51626.2,58562.2,66101.5
OECD ENV-Growth 2023,SSP1,Guinea,GIN,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,2631.37,3074.56,3714.79,4744.66,6168.04,8033.51,10320.4,13045.4,16294.6,20136,24556.7,29614,35238,41475.5,48348.5,55925.3,64254.7
OECD ENV-Growth 2023,SSP1,Gambia,GMB,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,2069.24,2443.91,2906.07,3636.7,4533.15,5647.29,6991.84,8595.08,10524.5,12806.7,15454.2,18486.9,21893.8,25672.2,29862,34499.3,39643.2
OECD ENV-Growth 2023,SSP1,Guinea-Bissau,GNB,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,2115.78,2447.87,2857.68,3419.89,4170.61,5167.9,6423.16,7979.23,9903.62,12246,15031.1,18288.2,22029.9,26266.3,31058.2,36468.9,42565.1
OECD ENV-Growth 2023,SSP1,Equatorial Guinea,GNQ,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,15214.3,11799.5,10358.2,11296.4,12773.7,14732.9,17102.3,19926.1,23309.4,27262,31600,36357.4,41580.3,47257.8,53400.1,60034,67244.9
OECD ENV-Growth 2023,SSP1,Greece,GRC,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,26018.2,32464.2,36466.2,40228.3,44642.8,49149.1,53413.2,57695.4,62061,66453.1,70601.4,74422.4,77893.5,81093.2,84090.6,86924.8,89606.5
OECD ENV-Growth 2023,SSP1,Grenada,GRD,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,13225.4,16081.3,18407,21688.7,25969.7,31013,36448.6,42363.7,49079,56659.4,64710.5,73119.7,81885.7,91098.1,100804,110950,121438
OECD ENV-Growth 2023,SSP1,Guatemala,GTM,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,8207.59,9557.46,10882.7,12689.6,15070.5,18017,21405.6,25215.1,29474.2,34143.8,39072.6,44283,49697.8,55268.9,61055.4,67080.5,73335.5
OECD ENV-Growth 2023,SSP1,French Guiana,GUF,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,35395.2,49999.6,52640,56271.5,60689.8,65734.3,71280.4,77440.5,84454.4,92363.3,100832,109800,118968,128348,138099,148480,159565
OECD ENV-Growth 2023,SSP1,Guam,GUM,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,21465.1,39151.9,48058.9,57271,66816.1,76215.5,85133.2,93621.8,101978,110193,118099,125763,133360,141055,149035,157369,166077
OECD ENV-Growth 2023,SSP1,Guyana,GUY,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,18555.7,74066.2,153641,243944,327217,370085,371555,351070,325168,301088,280845,264181,250419,239309,230559,223804,218647
OECD ENV-Growth 2023,SSP1,Hong Kong,HKG,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,55736.4,62956.5,70815.9,76322.2,78661.2,79075.1,78447.7,77718.7,77447.5,77952.7,78832.5,79922.1,80974.6,82095.7,83426.8,85059.9,87003
OECD ENV-Growth 2023,SSP1,Honduras,HND,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,5068.19,6084.34,6939.26,8239.37,10196.2,12898.6,16277.5,20350.8,25199.4,30885.5,37409.2,44669.8,52469,60703,69368.6,78456.9,87945.6
OECD ENV-Growth 2023,SSP1,Croatia,HRV,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,26501.1,35552.9,41750.7,47289.7,52142.8,56246.1,59565.8,62456.5,65286.8,68231.4,71270.9,74396.2,77572,80856.6,84316.5,88027.3,92029.5
OECD ENV-Growth 2023,SSP1,Haiti,HTI,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,2978.16,2745.75,2925.94,3578.84,4638.83,6234.39,8410.52,11282.2,15028.7,19811.5,25591.1,32441.4,40367.2,49404.4,59647.2,71175.2,83986.4
OECD ENV-Growth 2023,SSP1,Hungary,HUN,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,30344.1,36145.5,41903.7,47615.4,53017.7,57816.1,61916.3,65574.3,69128.2,72730.1,76264.2,79578.7,82545,85126.2,87376.1,89357.7,91079.2
OECD ENV-Growth 2023,SSP1,Indonesia,IDN,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,11669.4,14312.9,17342.5,20747.7,24716.4,28936.9,33062.7,37255.9,41599.2,46051,50561,55083.5,59561.4,63999.7,68381,72690.4,76903.4
OECD ENV-Growth 2023,SSP1,India,IND,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,6118.01,8230.59,10605.7,13372.8,16666.1,20412.5,24429.8,28725.5,33381.6,38409.9,43644.6,49077.1,54589.7,60155,65775.7,71447.4,77155.9
OECD ENV-Growth 2023,SSP1,Ireland,IRL,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,90204.5,114006,125264,136134,149408,165531,182928,199797,216275,232071,246027,257790,267622,276230,284071,291178,297678
OECD ENV-Growth 2023,SSP1,Iran,IRN,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,14482.2,16273.5,17459.5,19072.5,20628,22346.7,24158,26130.4,28481.3,31234.1,34121.3,37079.2,40128.9,43301.7,46610.6,50036.2,53545.5
OECD ENV-Growth 2023,SSP1,Iraq,IRQ,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,9356.22,9546.88,10135.7,12355.3,17176.6,22963.6,29019.3,35225.2,41698.8,48497.1,55471.6,62539.5,69592.1,76672.6,83894,91348.6,99185.9
OECD ENV-Growth 2023,SSP1,Iceland,ISL,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,49058.4,58245.9,64883.5,72261.4,80130.8,87475.4,93428.1,98456.1,103159,107784,112098,115995,119477,122683,125709,128439,130668
OECD ENV-Growth 2023,SSP1,Israel,ISR,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,40097,46972.1,52659.8,58836.7,65561.2,72187.7,77958.2,83692.6,89749.5,96110.2,102447,108615,114536,120287,125985,131689,137396
OECD ENV-Growth 2023,SSP1,Italy,ITA,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,35690.7,41628.9,44253.6,47884.1,52062.7,56630.9,61123,65661,70285,75027.7,79631.2,83913.1,87839,91533.1,95069.3,98512,101811
OECD ENV-Growth 2023,SSP1,Jamaica,JAM,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,9227.12,10667.8,11470.4,12738.5,14826.8,17745.2,21289.7,25463.6,30388.2,36078.4,42446.2,49442.8,56930.6,64883.2,73251.3,81986.5,91098.9
OECD ENV-Growth 2023,SSP1,Jordan,JOR,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,9278.97,9641.57,10363,11535.7,13328.2,15690.5,18515.2,21762.9,25467.2,29537.9,33876.7,38422.2,43201,48244.5,53551.3,59105.6,64900.4
OECD ENV-Growth 2023,SSP1,Japan,JPN,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,40727.7,44720.4,47714.7,51928.3,56921.3,62677,68512.7,74111.8,79500.9,84873.2,90246.3,95595.2,100846,105923,110762,115351,119745
OECD ENV-Growth 2023,SSP1,Kazakhstan,KAZ,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,25193.8,29525.1,32765.3,37007.5,41384.7,45565.5,49449.8,53541.6,58277.9,63758.1,69712.3,75909.5,82356.9,89210,96571.3,104484,112952
OECD ENV-Growth 2023,SSP1,Kenya,KEN,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,4544.28,5430.85,6493.29,7839.58,9544.77,11682.9,14188.5,17109.5,20501.2,24429.5,28820,33683.4,38994.8,44770.9,51035.6,57867.2,65319.6
OECD ENV-Growth 2023,SSP1,Kyrgyzstan,KGZ,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,4932.4,5753.92,6617.72,7821.23,9345.45,11166.2,13244.3,15629,18390.6,21543.7,25029.1,28800.9,32867.5,37273.2,42086.8,47296.8,52886.8
OECD ENV-Growth 2023,SSP1,Cambodia,KHM,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,4302.58,5272.88,6900.57,9098.47,11965.5,15610.4,19958.4,24945,30914.6,37837.4,45395.6,53471.5,62000.1,70985.3,80403.2,90268.4,100599
OECD ENV-Growth 2023,SSP1,Kiribati,KIR,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,1719.84,1869.65,2024.1,2568.07,3556.39,5146.54,7437.59,10671.5,15268.1,21626.3,30034.6,40728.9,53854.3,69721.1,88796.6,111450,137853
OECD ENV-Growth 2023,SSP1,South Korea,KOR,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,41367.6,47154.5,52330.8,57198.2,62156.6,67139.2,71579.3,75724.8,79768.5,83845.8,87651.8,91050.4,93950,96365.5,98442.2,100301,101886
OECD ENV-Growth 2023,SSP1,Kuwait,KWT,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,42861.5,47852.5,51945.2,57308.6,62821.4,68079.5,73434,79056.5,85196.4,91435.5,97102.3,102832,108492,114126,119866,125831,132168
OECD ENV-Growth 2023,SSP1,Laos,LAO,GDP|PPP [per capita],USD_2017/yr,,,,,,,,,7689.29,8509.7,10178.2,12458.2,15280.3,18731.9,22734.8,27285.4,32464.8,38325.2,44616,51350.5,58390.5,65772.5,73520.8,81666.7,90218.9
