"Government revenue, percent of GDP (% of GDP)",Country code,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.57450095,25.06796332,23.99350894,23.9289374,20.95912625,21.08138635,22.92004836,24.60156189,20.20556364,22.21968151,29.48079681,27.23551705,27.3077671,26.3872492,25.22987889,26.70216531,25.37440897,23.92084979,26.76592665,19.23421481,21.78759155,25.26609492,25.34748528,23.40609091,23.96600495,17.38524332,16.69790556,17.3065305,20.7937859,22.66530933,17.28323099,20.05875588,22.3826609,19.44056313,18.44537377
Bangladesh,BGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.98470345,9.304329916,9.152409906,10.16549455,10.08054192,10.08541954,7.776617039,7.948018201,7.623937588,7.307971625,7.260038817,7.290508597,8.050870602,8.194342389,7.676991313,7.864392177,7.979367485,7.762887847,8.17493723,7.89590243,8.367746245,8.569630469,9.138723954,9.23074604,9.129085611,8.213396253,8.438037547,8.068159778,8.881893251,8.143962746,8.467771464,9.361879718,8.507002162,8.236896883,8.338174597
Barbados,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.43353826,24.39815829,23.84717041,26.13984767,24.71734822,24.87559392,25.75357174,25.92561947,25.53359936,26.24825905,24.79381273,24.93176707,23.08105935,23.29376061,24.42554763,22.86184185,22.00225498,24.13125085,23.36277947,21.8382339,22.51287171,23.19705188,25.60714112,25.82599465,26.32813091,26.57352586,28.13300154,26.03303079,27.52413232,26.63608681,28.87170854
Belgium,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.281189919,6.365779877,5.960949898,7.060579777,6.263519764,9.169960022,5.420829773,5.806459904,6.019659996,6.3708601,6.292900085,5.878399849,5.178299904,5.915060043,6.145939827,6.232329845,6.129759789,5.975649834,5.473289967,4.785339832,4.874899864,4.64387989,4.888780117,5.413539886,5.429460049,4.913539886,4.856400013,4.916100025,4.899330139,4.615459919,4.679609776,4.336959839,4.441770077,4.343019962,4.347750187,4.226620197,4.459569931,3.813309908,3.799299955,4.196060181,4.726240158,5.025800228,5.075329781,5.201350212,5.514560223,6.29956007,6.396920204,6.397409916,6.50112009,7.7709198,7.898620129,9.236089706,8.174269676,8.052659988,8.474619865,7.918059826,8.398389816,8.852789879,8.587300301,8.841039658,8.892809868,10.4552002,10.66639996,14.09300041,9.099450111,9.358240128,10.98900032,10.88710022,10.85509968,8.549300194,10.83749962,9.406769753,9.615249634,9.399539948,11.1892004,10.5923996,9.270480156,9.157839775,9.39070034,,,,,,,,,,,25.93610001,,,22.32990074,,,16.60899925,,,20.96559906,19.67060089,16.74749947,16.28639984,17.02759933,17.03680038,17.44459915,,,,30.54910088,,,35.23749924,21.63529968,18.73920059,17.36450005,20.84749985,22.59799957,23.24010086,21.96310043,24.85980034,19.78120041,21.68379974,18.32769966,17.94949913,19.27470016,18.86389923,19.76189995,20.35479927,20.3003006,20.24810028,20.5447998,22.04980087,22.72500038,22.98209953,23.16160011,39.14559937,39.41880035,38.96099854,39.957901,40.64870071,43.73749924,43.81309891,45.65800095,46.25049973,46.48949814,45.46229935,46.05939865,47.27980042,47.66410065,48.24069977,48.31880188,47.62929916,47.87979889,46.57910156,44.73740005,45.51929855,46.07360077,45.63050079,47.41490173,47.43730164,47.57640076,48.41289902,48.90309906,49.38759995,49.46689987,49.00009918,49.4673996,49.62220001,50.85960007,48.94309998,49.27000046,48.66740036,47.99919891,48.60089874,47.97740173,48.75510025,50.58548319,51.89644684,52.73847807,52.24133801,51.40564762,50.94744753,51.4909519,51.40263595,49.70319911,49.41843666,49.53709833,48.63600078,49.20144515,49.96799596
Belize,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.14305566,18.12279104,18.22990622,17.07990131,16.47762927,18.6222458,18.97104588,16.14773435,17.18120095,17.69781376,18.89701173,21.87036065,23.02908756,20.71666832,21.40077095,22.41700656,21.83272604,22.59939159,23.09251487,22.80455692,23.18891074,24.18804629,25.56425657,24.62994871,24.58673252,22.44218136,22.38084508,23.368431,25.05866234
Benin,BEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.96632187,14.87867393,14.14877273,15.69034853,15.81349079,16.39087338,17.58141115,18.00282522,17.98915719,17.38821152,12.69011699,11.94925497,12.17803124,11.95410272,12.61387,12.65477947,12.61524136,12.85928007,16.03146974,14.50851246,14.75579379,13.80024047,13.74647421,14.02036749,13.52899431,12.57401213,12.59972709,11.13915576,13.50774281,13.50763906,13.76993279,14.38920162,14.14613519,14.30934189,15.04056108,14.98894612
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.89464318,46.67472134,36.66486885,28.63108177,30.32519325,30.98468776,39.91989282,37.74647119,37.72510969,40.43923156,35.91298633,32.38181463,38.89110297,39.63924567,38.13079349,34.97317574,24.51160016,32.79795901,29.4697866,33.35425853,33.98678198,33.53500553,38.50597471,43.47005779,33.05739793,33.01715862,27.95193426,31.33420221,27.05342736,28.14196438,26.08648326,30.17325268,22.76248983,29.14108721,30.86890419,25.13635454,24.1169602,26.96638782
Bolivia,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.965219975,4.221250057,2.973829985,2.274310112,2.379270077,2.065289974,2.684079885,8.108110428,6.902709961,7.405489922,6.787230015,7.861249924,7.41505003,7.77545023,8.16958046,8.802229881,9.320759773,8.820579529,8.45761013,8.158280373,8.111639977,7.589159966,8.127380371,10.34070015,12.35219955,12.06389999,15.65369987,7.456550121,7.36616993,6.838300228,4.49353981,4.291779995,9.087872348,12.2730783,3.628189968,11.98179908,19.5306292,16.71920258,17.47509345,18.90881881,18.37613141,19.9809203,20.8532779,21.08143392,23.76665075,23.96399523,24.14760682,24.9987838,24.87289953,25.52774149,25.58623401,25.13526236,24.50462908,24.11434327,26.80109231,30.93777854,34.30398261,31.11256486,38.86046424,35.83364365,33.12348037,36.1872081,37.7536219,36.03549123,37.83662016,37.5791756,32.7515155,30.78476312,29.54363765,28.89697748,24.05403956,25.43795833,28.87934258,27.75113434,29.22063621
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.45025651,54.72052978,51.5394917,46.76061644,44.44654003,46.8450383,45.40717794,45.26857412,46.31105904,45.37002398,44.54912488,43.62935325,44.62179635,43.65453344,44.19099919,43.18329624,43.31121652,42.49410899,41.79702199,41.77034187,42.05498639,41.28236224,40.88319196,40.46655911,39.51818577,40.03698607,41.44187607
Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.35479927,22.06900024,22.80699921,18.84059906,24.62960052,19.36510086,17.88730049,22.12120056,23.59379959,24.39389992,22.67440033,14.58600044,11.63269997,11.2553997,10.07600021,11.0394001,11.89000034,9.498430252,9.938650131,10.25559998,9.935480118,11.29629993,11.86209965,14.31029987,13.84379959,14.85179996,13.5,14.48649979,11.91889954,10.71430016,10.9375,10.25450039,10.78950024,11.47369957,9,8.977780342,9.958330154,9.763640404,11.25450039,7.542170048,9.40816021,8.909999847,8.100000381,7.862500191,6.816500187,7.917270184,7.16478014,8.157999992,7.776790142,8.804800034,7.627270222,9.73721981,9.420000076,11.03050041,9.916000366,9.075670242,8.452699661,8.244050026,8.621780396,8.433329582,9.676670074,8.511179924,8.39138031,8.971489906,9.444319725,8.612319946,7.817299843,7.448120117,8.050769806,7.78978014,7.122350216,8.491640091,8.693329811,7.089230061,8.36730957,7.008170128,7.378089905,7.91381979,7.777430058,7.743959904,9.856180191,9.072710037,16.23530006,16.98579979,16.60000038,12,13.30000019,11.39999962,12.80000019,10.60000038,11,11.39999962,12.5,11.10000038,11.10000038,10.69999981,10.69999981,10.5,10.10000038,9.399999619,9.300000191,8.800000191,9.5,9.800000191,9.600000381,9.800000191,10.10000038,,,,,,,,,,32.90310947,32.99698956,33.67984918,34.41406732,31.16225189,36.33425448,40.34625446,35.88748717,36.7256843,38.50673429,37.69436081,37.69156411,37.52260794,36.30613534,35.96213164,36.62592756,36.95817559,36.35801303,35.1514999,36.90947369,37.51231009,36.32765309,37.19052129,38.1843502,34.5415339,37.74023987,39.48063525,37.59685534,39.48536162
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.85140038,12.81099987,11.03509998,12.61740017,13.65340042,11.98700047,11.42329979,11.58199978,12.18229961,14.70440006,11.92199993,16.70870018,16.63619995,16.48620033,15.13099957,14.76949978,15.03579998,22.41349983,22.70899963,13.4048996,10.13239956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.46590042,33.92520142,33.71929932,31.68849191,36.30689708,36.52535406,35.89706167,34.46034297,35.76719208,36.20384086,36.22048426,35.72201211,36.20049505,36.18370755,32.91597123,30.78465017,30.12021533,32.08459288,33.71843517,33.42860544,34.55493694,34.26435905,32.85192261,34.49151366,35.03796064,34.70816672,35.63336637,36.76592314,34.40519997,33.61224598
Burkina Faso,BFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.25564008,11.21025011,13.96203747,11.88580364,16.14794819,10.88652386,14.19699637,14.24072551,14.054273,15.94277784,16.7898959,18.08601007,17.38317047,17.14294966,18.10738073,16.7993067,16.10232244,15.03389157,15.80854109,16.06312973,15.3274395,36.22378177,17.8235595,14.96325339,17.35867211,17.59670432,18.39661287,19.90470612,21.71259521,19.19030772,18.26902538,18.55011833,19.34308682,19.75728558,19.96136947,19.26753576,20.3597003,21.96937788,22.51601086,21.99030231
Burundi,BDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.94808559,22.80459797,17.61400347,18.40179532,15.8287482,14.2972936,15.50665376,15.12926856,16.02424503,14.87857641,17.0093511,20.20223894,24.36880576,22.58673546,26.54990389,36.45477709,38.45843051,32.84299085,37.20676147,38.6956159,33.75021169,32.87032827,24.52942044,15.60861195,15.46289705,19.08708858,19.35965699,22.39995199,22.58908963,23.79166975,22.78499174,20.7476719,17.50836085
