"Government primary balance, percent of GDP (% of GDP)",Country code,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Brazil,BRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.525050163,6.907839775,4.146118641,5.586471558,2.757761955,5.444670677,8.589561462,8.522190094,4.213459015,3.8448596,5.097180843,1.928459644,1.992649555,-0.233449697,2.763080597,3.773880482,2.487720013,-9.455308914,1.976000309,-2.837189674,0.373209476,4.354589701,4.978829384,3.36303997,3.967450142,3.113580465,3.144239902,0.455989838,0.901790619,-0.083330035,-0.08618927,-0.979929924,0.493259907,,,,,,,,,,,,,,,2.257860184,1.721999764,-1.377279758,1.343839645,-3.623870373,1.324730635,,,,,,,,-1.911583304,-2.336598426,-0.576717675,,,,,,,,,,-0.952100873,,,,,-0.542957842,,,,,,,-0.805920005,0.157399774,-1.051410437,-0.315119386,0.914700627,1.463370323,1.445599794,1.601789594,1.69173038,1.952660322,2.502549887,2.465919495,3.131720304,3.8369205,3.817139626,7.085690022,6.514050007,7.68116951,6.301680565,6.18748045,2.609999895,1.590000629,,,,,,,,,,-0.004836356,-0.58690503,-0.14621222,3.010374039,3.378375286,5.077198012,8.114027053,5.032162332,5.792337131,6.15516497,3.444344383,4.622274856,4.540471244,1.893142177,3.528894824,4.904308723,4.593179887,3.539143539,1.238753341,2.642944408,1.962380923,1.025680452,1.838787311,2.34339151,-5.844598946,4.184256407,4.077957539,0.423703025,2.085870382
Bulgaria,BGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.125339389,-3.484060884,-0.957820177,0.498659849,2.096379995,1.913990259,3.873019934,3.414200306,3.265720487,2.619799495,2.139549494,2.072639942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.102300644,9.410800934,7.904637814,4.694467937,3.736854177,3.247128521,2.988397147,1.478018893,1.978401552,3.285983934,3.64525305,4.415406001,4.079726133,3.534614224,-0.143895065,-3.120547451,-1.159770639,0.258777611,-0.91417498,-2.962763351,-1.994961423,2.309821727,1.595114878,0.750015832,-0.420050148,-2.401349335,-2.350898124,-0.413028778,-2.585213716,-2.54086679
Burkina Faso,BFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.313979385,-4.187925514,-4.187862205,-3.289021872,2.806800639,-6.646165693,-1.667701963,-1.371394356,-2.594757162,-0.622907347,-1.416129199,-0.89352937,-1.913290093,-1.915136485,-2.632025541,-2.239515968,-2.80978878,-3.765498637,-1.179343966,-3.528734276,-4.329063756,14.85285004,-4.657250495,-3.3261935,-3.780860001,-3.631445232,-1.542449256,-2.111391757,-3.025398895,-1.098121523,-1.464267284,-2.223117005,-6.069612885,-3.333855205,-2.145029181,-3.788351233,-5.686824251,-8.912560317,-4.531156021,-3.621720726
Burundi,BDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.596427592,0.1617687,-0.446384245,-2.177400973,-6.980556984,-2.800530783,-2.403237734,-3.046544601,-3.660026073,-5.517028888,-2.679281229,-10.97937603,-12.5259318,-7.907938747,-8.068582965,-0.474681337,-1.186830506,-3.943066926,-3.043166042,-2.585036892,-2.989185653,-1.123313373,-3.424947055,-7.046982102,-6.459864082,-4.339012345,-5.058225258,-4.066642323,-3.632112631,-1.627922709,-8.151653031,-5.769375473,-3.246871364
Cabo Verde,CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.85300889,-8.374672845,-8.257434668,-6.954149247,-0.18430801,-9.770785539,-13.82533035,-3.577609517,-4.016675088,-1.780319876,-1.145089626,-3.132717801,-2.811867455,0.550328314,-0.164141472,-4.064086185,-8.166927167,-5.572698952,-7.633347824,-6.482407262,-4.902240576,-1.779810375,-0.438296003,-0.318358933,-0.06934937,0.634422873,-6.561455624,-5.28705186,-1.969540929,2.023320631,1.305372329
Cambodia,KHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.391342877,-3.610556804,-5.228506189,-3.625923661,-4.615262322,-4.81277794,-5.913702394,-5.524124938,-3.025637717,-0.151187035,-0.004298395,0.789738084,0.588271218,-3.810867407,-2.90088191,-3.54289992,-3.332788479,-1.755372571,-0.988270677,-0.420636924,-0.021688591,-0.520812339,0.529471242,2.434050481,-2.260949681,-4.909782864,-0.020884333,-2.556378378,-2.401157219
Canada,CAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.463670135,0.169609785,-2.77218008,-0.574009895,-0.205980182,-0.46408999,-0.450560331,-0.02300036,1.123050094,-0.359470248,0.95435977,1.670489788,0.468570113,-2.616509557,-0.820230365,-2.993659735,0.99875021,0.425450206,1.126449704,1.479110003,1.356870174,4.619760036,1.328000307,0.835289955,0.552660108,0.805179954,1.170410156,1.115759969,1.104750276,1.392250419,0.859589696,0.767140269,1.902466297,1.01001519,0.439534068,0.727143347,0.661904812,-0.190949798,-2.080064833,0.043515205,0.435045063,0.555248857,1.531733215,-0.331882894,-3.990046382,-5.37084657,-7.037360311,-6.635940194,-7.164160609,-6.067679644,0.938579798,1.323079586,2.51074028,3.780210733,3.001219988,3.170729637,3.334620476,3.235029936,3.181819677,2.757779956,0.65384984,0.1470294,-2.246990204,0.17470026,0.56180954,-0.59291935,1.283949614,2.182820559,1.557260513,0.282889843,-3.452978849,-2.715540409,-18.85137856,-20.76449943,-18.72460175,-14.20722175,7.15943861,8.482159853,6.903730631,3.466030598,3.360919237,3.455878735,1.917928457,2.158739805,1.305710554,1.626109838,2.377989531,1.516430378,0.107239127,0.966660023,1.145569444,0.140939951,0.360468864,0.690180302,2.276029348,2.668760061,2.835560083,2.20374918,2.747812033,4.555981874,3.309071779,2.794970274,2.887736797,4.406201363,4.660561323,0.285649538,1.337520123,0.170989513,0.02244854,1.614848614,1.350590229,3.421958923,0.191100597,-0.912799835,0.042311668,-0.231861115,1.290987015,2.857450485,3.952721596,4.264669418,3.625921249,1.06060791,0.18735981,0.480929375,2.32363987,4.237998962,6.316758156,8.572818756,8.332592964,9.250900269,10.05001974,6.953867177,5.407918612,5.105252294,5.561823451,5.967684072,6.024238877,5.745784424,3.869970628,-0.195248114,-1.136821988,0.257713508,0.894154502,1.813486892,3.279516045,3.009031667,2.515236715,2.731284695,3.300971742,2.940875178,-8.018727086,-0.428540219,3.239598168,3.309450851,1.518774253
Central African Republic,CAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.075315293,-2.025895522,-5.569910989,-6.91196664,-5.980568103,-4.237056745,-5.224304768,-2.576562228,0.942314276,-0.184947047,1.365100903,0.948068581,-0.138632763,0.548285418,0.38425647,-2.002867277,-0.933704492,-3.459646091,9.48586973,2.513438096,0.846778046,0.969287133,-0.386249916,-1.542394251,0.095180046,-1.709630587,-2.468838702,-0.045338767,1.673137741,-0.704019933,-0.547282279,1.649327973,-2.939697671,-5.533769496,-4.829253504,-2.860908173,-4.220590705
Chad,TCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.441106494,-2.74986419,-1.937636668,-1.175850634,-3.447462897,-3.969764433,-3.034517867,-3.494000871,-3.908291374,-1.543181775,0.174686148,1.990990087,2.268320851,3.009072966,-8.085276399,-2.73681849,2.191107936,0.634764513,-1.117121841,-2.769587197,-2.025921882,0.046232779,1.02239385,2.200848414,0.606954225,1.932730381,-0.56255373,4.825888676,-0.149418122,-0.882551122
Chile,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.311817408,2.457037568,2.017813206,1.27175042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.003638983,3.175816298,2.097898483,1.974649429,1.609091282,5.92536974,6.231688857,2.979643375,-0.467920482,-1.381020069,-1.512408853,-0.238541245,0.742549896,3.682530642,11.63300991,13.09424925,8.338639259,2.430522993,3.578739285,3.456549644,4.420810699,5.798061609,3.403650871,3.238040597,1.570308936,-0.797797107,0.481245661,0.654492824,-0.050707261,0.694301453,2.979580179,5.380157487,8.167869564,8.533033881,4.398935083,-3.764316345,0.122504553,1.983622127,1.27107289,0.113070907,-0.881546271,-1.424492102,-1.91035636,-1.813310867,-0.62987733,-1.803800487,-6.132093126,-6.664952474,2.364096477,-1.218824995,-1.605001328
"China, People's Republic of",CHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.750066912,-0.485959395,-0.684474822,-0.696951895,-0.618274356,-1.334284902,-0.435863806,-0.1904427,0.011777741,-0.225398023,-1.642248203,-2.087976592,-1.84753874,-2.291767238,-1.667363848,-1.025900416,-0.952413937,-0.688738052,0.441165072,0.379245309,-1.299583633,0.087948939,0.387508767,0.184162676,-0.318441972,-0.12615479,-1.996003272,-2.65923542,-2.596377828,-3.408851698,-5.166199737,-8.621693187,-5.011090101,-6.398538041,-5.793745119,-6.388701063
Colombia,COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.600000292,,,,,,,,,,,,,,,,,0.600000203,0.800000012,1.200000003,0.100000001,,,0.700000107,0.69999972,0.700000167,0.100000262,,,,,,,,-1.299999997,,,,,0.399999917,-0.199999988,0.599999815,0.300000101,0.900000006,1.100000098,2.300000384,1.799999908,1.599999726,1.400000192,0.999999821,0.100000203,1.600000098,1.900000289,2.300000012,1.400000289,-1.300000474,-1.30000037,-1.000000298,-0.600000381,-0.299999893,0.500000387,0.200000197,0.400000006,-0.099999994,-0.199999809,-0.399999976,-1.199999809,-0.499999404,-0.600000262,0.300000012,1.200000405,1,0.699999243,-0.30000028,-1.700000286,-2.19999969,-2.900000393,-2.499999881,-2.600000203,-1.499999642,-0.500000596,0.700000405,-0.100000143,-0.300000548,0.300000191,1.000000238,-0.599999428,0.400000215,-0.200000525,-1.100000143,-1.999999642,-1.899999619,-2.299999714,-3.699999094,0.775838738,1.504870356,0.295011821,1.289357591,2.662150855,3.32906846,2.901677994,3.261705532,3.528675659,0.648921794,-0.314662099,0.975714251,2.951272862,1.472434105,0.948957352,-0.703824217,0.997386364,0.649949604,-1.674142515,-0.530740755,-4.162744666,-4.084380518,-2.091356812,1.360309539,-1.856433539
Comoros,COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.831796256,-3.97937654,-3.715347882,-2.186853119,-1.512660569,-0.419881907,-0.171237327,-1.509767283,-1.401698224,1.877747107,-3.005815995,-3.576669265,-2.909418754,-0.741822166,-1.407296139,0.096946448,-0.607203171,-1.471265879,-1.545181851,-1.443829792,-0.459336089,-0.972221666,-1.08258693,-0.89217756,-1.048686204,0.69455457,4.511582436,1.124413413,2.212851779,10.59913763,-0.267531804,2.682912637,-5.432997388,-0.030322947,-1.251643948,-4.131332625,-0.265502297,-2.509844274,-3.733172451,-0.966681602,-2.606438659
"Congo, Dem. Rep. of the",COD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.115601858,-0.465831811,-0.638964572,-0.862541411,-1.377260562,-0.251620579,1.400604185,-0.883212312,-0.013136818,1.721780447,2.375282593,1.503237492,-0.076290971,1.237235161,-0.671111277,-0.246126052,2.28534016,3.76301264,4.063302859,-1.050081942,-0.666593639,0.196674871,-0.943109649,-2.964667311,-2.955922678,-1.422819752,-0.660946211,-1.320986249,-1.001644407
"Congo, Republic of",COG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.563956989,5.791879178,-3.314986457,-5.576826212,-4.664727,-0.169814289,5.884246783,9.885800809,4.114859056,-4.976268385,5.560249516,7.236099257,6.190870874,0.313332357,5.622974299,8.078810795,17.90900812,20.19945087,11.38669885,26.78754164,6.358933985,16.41784889,16.21012909,7.379908964,-2.645210603,-10.53773829,-17.15362277,-12.65122713,-3.955158505,6.996422897,7.267821333,0.103199162,3.686203171,11.59538031,8.963362234,8.292620046
Costa Rica,CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.653580308,0.892000198,0.60176301,1.030246377,0.569776297,0.300500035,-1.107655287,-1.130983531,-0.485029936,-0.705010176,-1.056430101,-1.847219586,-0.752874136,-0.050360918,-0.029059768,-3.333270788,-3.21329999,-1.051880956,1.542129397,0.031570077,-1.307239532,-1.41927135,-2.289170504,-4.494860411,-4.40522933,-1.264180183,0.981330514,0.516260624,1.903239489,1.502949238,-0.14648056,-0.281050205,3.039429426,0.979099512,0.589009762,2.277560472,3.624070406,2.225628138,-1.930300236,0.301428795,0.749550343,1.065050602,0.735509872,1.445339918,0.529166247,1.087864689,0.001761829,1.415711956,1.360630982,2.021415701,2.717950977,3.57987257,2.280739591,-1.208054574,-2.928233086,-1.831280363,-2.228888134,-2.766380704,-2.967424714,-2.870902844,-2.365725167,-2.902090957,-2.248528392,-2.628248739,-3.749222753,-0.277237633,2.069605332,1.550623172,1.060135947
Croatia,HRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.855600699,-2.085905321,0.581803188,-2.676723894,-3.170780161,-3.143399682,-4.613457826,-9.212290257,-7.04664942,-2.537759658,-3.258534172,-3.374731235,-4.339824587,-1.475717958,-0.379035321,-0.637437308,-0.575613737,-4.965199293,-4.109053313,-4.899752147,-2.439944633,-2.461057116,-1.801791763,-0.126816323,2.024217453,3.430915232,2.523699178,4.503961388,-5.254684821,-1.039642141,1.496960823,0.866117523,-0.412999002
Cyprus,CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.11873722,-0.76821856,-2.521078654,-0.972438381,-1.204324058,0.939113364,1.055452881,-1.156006096,-2.673351343,-0.715192979,0.964762554,1.915625,6.015475545,3.445627472,-3.100870664,-2.73211689,-3.627720539,-2.65549822,-1.719483601,-5.483675384,2.3640214,3.083040124,4.607038065,-1.013398876,3.21266949,-3.462501117,0.053738946,3.977220507,3.002552648,5.563979659
Czech Republic,CZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11.28900324,-1.861557051,-2.097181076,-3.077204682,-2.175827811,-2.79005709,-4.838758222,-5.255196405,-5.83831622,-1.332641574,-1.987627767,-1.157622742,0.387359012,-1.007835418,-4.231701645,-2.853716087,-1.417117686,-2.513290401,0.021156097,-0.811239676,0.387655308,1.58912912,2.185122286,1.605435433,0.96397118,-4.90604665,-4.229032358,-1.957340502,-2.448582867,-0.652696215
Côte d'Ivoire,CIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45650565,2.086731424,1.566824772,2.090604443,2.989141014,1.421833843,0.154646378,0.462704729,0.399797764,0.225311887,0.844679459,1.044810477,0.061782917,-0.195465457,-1.579450537,-1.044328627,-0.614960685,-0.683184479,-0.943783404,-1.723236475,-2.029645043,-1.569060033,-0.746981428,-3.58907793,-2.915681138,-4.547139615,-2.627434238,-1.302717168
Denmark,DNK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.607140303,1.418349981,1.341174603,1.670510054,2.181163728,1.463415265,0.622710109,0.193466723,0.356713235,0.235432804,-0.259074092,-0.099206805,-0.059702873,0.250000417,0.424239039,0.490859807,0.576015353,0.053970754,0.121005118,-0.041085958,-0.31013912,-0.182220161,0.51575917,0.574555933,0.439486086,0.783056796,0.073751837,0.753306985,-0.349687099,-1.958425403,-1.134230852,-0.458312035,0.657712162,0.612775743,0.913399875,0.00346595,1.940536201,3.66724354,2.469573677,0.242167711,0.064897895,-1.583287477,-0.266370058,0.467660069,0.196473777,-2.117714882,0.477485061,-1.36141032,-3.840350509,1.211639881,1.095529914,-0.486130238,-2.038300276,3.089320064,1.191540122,0.094040394,-0.379675627,1.15390408,0.874370933,0.947458982,0.911832988,0.747853994,0.700544,0.676281989,0.709025025,-0.557857096,,,,,,,,,-0.007266045,-0.364806652,0.782002509,0.999049664,1.050039947,1.478564978,1.921006083,2.327405035,0.448833644,1.708409846,2.265105933,2.59589988,1.413609296,1.865709782,0.304601699,0.593001425,0.987513393,6.265368819,6.296490192,6.170890689,4.872509718,-0.080019832,1.479359746,2.113309503,2.49971056,2.655156612,1.42742157,-0.84169054,-2.554129601,1.332793236,5.467886925,7.954856873,11.62062168,10.30035734,8.901287556,7.376181602,5.27422142,3.59085083,3.347388744,2.789850235,2.729717255,2.975621223,3.649812698,4.420630932,4.472378731,5.401760578,5.851549387,4.60334754,3.439419985,2.780592203,4.453440905,7.099437714,6.813058972,6.380859017,4.679731011,-0.893518925,-0.888350725,0.043764457,-1.562650229,0.614087115,2.78119764,0.364544288,1.362965205,2.452241037,1.61445607,5.022232235,0.88081699,4.616803616,4.093707705,4.113337095,5.240156918
Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.809901491,-0.621091017,-5.706118985,-6.783996195,-4.663194353,-4.646894471,-1.274665072,-2.494279035,-3.343508379,-4.826897621,-3.640610954,-3.397275127,-4.298110057,-3.885938793,-3.425984441,-0.871417973,0.580101045,-1.591155369,0.871203879,-3.566008258,-0.751933831,-0.943802703,-1.737993085,-0.103953412,-6.692001707,-15.13807152,0.064153069,0.847711851,-0.734008985,0.313505453,-1.942091495,-2.898811427,-0.73643328,-3.288037702,-2.355469386
Dominica,DMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.359073332,-1.436361826,-0.432471906,0.37770418,-1.525747819,-1.002523306,0.376744681,-0.18173493,-3.997155565,-6.056525989,-4.705122172,-2.488118531,0.050694809,4.522766811,3.77001783,5.165674531,4.74307996,3.708645602,2.408799227,1.031763676,-1.8481012,-2.869414814,-3.413609686,-0.839750146,-3.954866353,13.26159076,13.22802362,-1.221596502,-15.23880792,-6.248651696,-5.409128915,-5.600316024,-4.313901104,-1.963013237,-0.290670058
Dominican Republic,DOM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.112833126,-1.267959432,-1.769739527,0.073534752,0.029756996,1.173593753,1.529757183,1.220521128,0.341888401,4.126021472,4.494105674,3.789986232,5.106034823,1.363165024,0.537002587,1.877703965,1.071584259,1.472533828,1.221720619,0.17745373,-0.111187099,0.048028649,-1.183122466,-2.62235443,-1.825603549,0.515477232,-0.400704866,1.402223881,-1.910287752,-1.053887707,-1.136335074,-1.036859658,-4.391077978,-2.182748804,-0.400456328,2.286646304,-0.571528699,-0.547506347,0.431020987,-0.718199708,-4.682822491,0.175086334,-0.39949349,-0.121142609,0.295992155
Ecuador,ECU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.706523183,0.25544488,1.097931225,-1.371790823,2.310832711,5.70910423,4.339819987,3.848715045,3.692024424,4.204945677,2.663654676,4.882677816,4.386816898,1.720497636,-3.133228205,-0.779876351,0.508471298,-2.114147357,-7.276828493,-7.132915645,-5.502554724,-8.722925392,-3.716018758,-0.328528922,-0.752706821,-4.482737705,-0.305707361,1.584236893,-1.327741073,1.036302295
El Salvador,SLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.076712443,0.625490121,-1.729210547,1.019681629,1.107381065,1.576224928,-0.80041142,-0.282438066,-1.317402829,-1.541448699,-1.721096349,-3.316499125,-3.56706306,-1.911974569,-0.322653844,-0.900526551,-0.57349907,0.658356351,-0.911535642,-3.629329937,-2.212718685,-1.916583954,-1.299672311,-1.757085639,-1.31591119,-0.90245684,-0.188744604,0.673720805,0.898971402,0.616491941,-3.839344686,-1.041770468,1.996139766,-0.123689318,0.033373491
