"Government primary balance, percent of GDP (% of GDP)",Country code,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Bahamas, The",BHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.458082115,-0.856704531,-0.839790196,0.459224315,1.055493086,1.618810985,1.315778918,-0.072653061,1.018336151,3.140958621,1.297571018,1.425336809,-0.478295348,-0.495615781,-0.676058442,0.128608213,0.726974632,0.450552467,0.529427752,-0.883910513,-0.792251116,-0.77811341,-1.462569468,-3.163844542,-2.532656518,-1.234530839,-0.295178069,-3.849909554,-0.799581481,0.836698103,-4.180963587,-8.135037902,-1.27575501,0.271997346,2.740701769
Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.878486856,-3.056351917,-4.819329267,-2.08818866,-4.492662529,-3.217843566,0.961629789,-5.63705903,-4.61249628,-3.826536006,8.658734936,2.130819949,-2.316200715,-0.566675103,1.127147992,3.784537477,3.258074431,2.29522755,4.615051027,-4.802436657,-8.387367559,-3.883184817,-4.514609256,-7.033374324,-1.579703101,-15.25519751,-13.70259926,-9.865369934,-6.984591172,-4.145187282,-12.32779108,-6.013210019,-1.554883197,-3.858231059,-4.077420092
Bangladesh,BGD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.329307999,1.110335111,0.991153032,1.03896124,0.608487272,0.254019377,-1.255023153,-1.229147951,-1.340087155,-0.291474762,-1.324942639,-2.25555231,-0.994764938,-0.601906641,-1.020242223,-1.190181553,-0.848458156,-0.49507495,-1.575739533,-0.860746899,-0.683495734,-1.58948316,-0.992971714,-1.218868399,-0.879455614,-1.583994946,-1.567545786,-2.631416483,-2.466566613,-3.713819491,-3.001098098,-1.555792354,-2.569317386,-2.337323536,-1.400934468
Barbados,BRB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.720798294,7.320619067,4.77713114,6.227675818,6.736943372,6.293117312,6.106842358,5.29513236,-1.278006465,0.865358197,0.519607586,0.504033226,0.095973286,-1.079112959,-0.440099957,-2.249092846,-2.593384977,1.352084279,-1.630536231,-3.276109284,-0.478818191,-1.802317418,2.023280286,3.007564146,3.051811481,5.152788068,-0.905707832,-0.813356477,2.363862018,3.485884219,4.278848346
Belgium,BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.200210214,1.215530276,0.879699707,0.738250136,1.123510122,1.048950076,2.204849482,1.450789809,1.260719776,1.706770182,0.546349883,1.397389412,1.655659676,1.592509866,1.619589567,1.239260077,2.405020356,1.366679788,1.306940436,-0.159519792,0.838270545,1.985890746,1.683960199,1.578189611,1.49499023,2.686259866,0.018399954,0.556429982,0.455199718,1.69296062,1.296999931,0.540130019,0.062769294,0.069410443,,,,,,,,,,,,,,9.821980476,,,1.978948593,,,3.996588707,1.0217309,-2.956549644,-1.327070236,-0.965961456,-1.439470053,-3.127121449,,,,0.720039368,,,,,,-0.328000069,-0.19769001,2.13231957,1.282060862,1.778321266,4.088740945,0.8315413,3.675620675,0.583260059,-2.311760426,-3.057369709,-2.526281595,0.255820751,0.315788507,-0.302099228,0.146019459,-0.526050329,-0.725319386,-0.353770256,-1.23611021,-0.736279726,-0.164848804,-0.966050148,-2.609863281,-1.510378122,-0.266477823,-2.583191633,-2.676369905,-2.06221962,-1.598229885,-2.767343521,-3.04337883,-7.377120972,-3.130470276,-4.909277916,-1.071011543,0.332401276,0.625099182,2.127998352,2.543430328,3.572599411,4.889800072,3.759300232,2.699001312,3.29390049,4.049781799,4.343019485,4.438428879,5.43255043,6.378000736,6.186258316,6.538047791,6.837351322,5.600731373,5.146251202,4.373171329,1.506771088,4.066509724,3.549639225,2.531288624,-2.159267426,-0.714288712,-0.852548007,-0.787501031,0.187270189,0.117295825,0.507775462,0.342383427,1.6492711,1.129290608,-0.039837646,-7.066522911,-3.706177489,-2.048925866,-2.09157299,-2.259338583
Belize,BLZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.398058835,-0.409518193,-1.365818926,-5.001435231,-4.926605595,-4.946580853,-2.837392849,-5.029888104,-0.107770415,1.501060257,3.080863666,3.071169497,4.199134238,0.565754025,1.050765271,1.736275574,1.313601243,0.856764084,0.337613242,-3.018889237,-2.140390834,-0.998631942,1.253681081,-0.273548386,-6.804115416,-1.849500159,0.686116981,-0.161200015,1.292831936
Benin,BEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.832626764,-0.376478405,-0.597086489,0.787831602,1.90652126,0.814481943,-0.042864689,2.118408558,2.231970938,3.491680066,2.557019114,-3.129690708,-2.701793342,-2.796313558,-0.675524666,-0.218907945,-1.323678308,0.000327875,1.300454205,0.196133791,-1.900403985,0.09961777,-0.685627885,0.191290684,-1.043906632,-1.3711724,-5.013847143,-3.38441852,-2.745963771,-1.376752422,1.035044075,-2.724987035,-3.467430609,-3.908662789,-2.53561554,-1.281446547
Bhutan,BTN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.477050458,1.501041313,-9.907243318,-6.384346704,0.208099081,-2.667731621,7.500206098,2.078627777,1.062454594,4.728602389,1.713646448,4.182367951,3.348853566,-0.812846022,-11.81539803,-3.874325982,-9.625839955,2.492105599,-5.82396217,0.873654596,1.729532589,0.58186236,2.046580581,4.367879648,-0.919083786,-0.1946996,-2.136203515,4.188032604,1.022212151,-0.896991095,-3.270058635,-0.274170905,-0.614194066,-1.362885314,-4.796826302,-5.569651164,-3.034474355,1.80227719
Bolivia,BOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.386236899,,0.373082973,-0.065284185,-0.878373578,-2.817611963,-3.803754151,-3.318828937,-2.790602731,-2.754060999,-2.991467861,-2.658716802,-3.791663051,-3.098844111,,-5.253510118,-3.512480319,-1.381042123,-3.234043837,-2.765932322,-2.335059643,-0.810780406,-1.230580211,0.271980047,-9.314259291,-7.716899157,-8.500570297,-11.6843009,-9.163200378,-12.5858009,-15.29597171,-22.57407876,-4.297409479,2.293579711,-3.739123324,-2.843528782,-2.284283646,-1.772943625,-1.529100101,-1.817553246,-3.499726825,-0.497922754,1.111592602,0.863432767,-1.00693073,-2.99693496,-1.843133488,-1.452249674,-4.217846795,-6.192101722,-5.059490286,-2.616215994,0.756049881,6.996521461,0.999068122,5.504903004,4.275279419,3.016942688,2.058514148,2.737701974,1.551920012,-2.450771939,-5.934432713,-6.253005313,-6.742929684,-6.979382746,-5.875260419,-11.22771034,-7.978532908,-5.499168983,-8.671279936,-7.506413865
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.155145709,-1.863105277,-3.504020938,-2.430294755,-1.953194867,0.26883729,0.401373349,1.302802895,2.745134694,0.771857791,-3.336329653,-4.829282771,-3.466272402,-2.099645862,-1.94506931,-0.550085001,-2.099725058,0.60529133,1.18831369,2.605475657,2.368018225,2.119279236,-3.77312255,0.479279349,0.76598469,-0.820694602,-0.894477006
