Net lending/borrowing (also referred as overall balance) (% of GDP),Country code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Czech Republic,CZE,,,,,,-12.27774975,-2.976111566,-3.136464821,-4.138626132,-3.080437971,-3.546943368,-5.757234792,-6.344912452,-6.874813153,-2.404998807,-3.061159017,-2.185821295,-0.677897718,-1.998853764,-5.456259718,-4.144160407,-2.711828401,-3.917505547,-1.298509407,-2.09347164,-0.665740433,0.684881159,1.460300764,0.881501114,0.282753785,-5.649743202,-4.95117518,-3.068779121,-3.734711289,-1.993574593,-2.158148471,-2.558706124,-2.669541136,-3.065863869,-3.498173194,-3.813334648
Côte d'Ivoire,CIV,,,,,,,,-0.749169757,-0.696892189,-1.267969102,-0.830553058,0.699229742,-0.637283748,-1.261215599,-1.037869828,-1.025127001,-1.034348591,-0.388505064,-0.209869061,-1.001842502,-1.336893709,-2.889151121,-2.276488361,-1.620933143,-1.568167655,-2.042140374,-2.978643552,-3.27411453,-2.904716592,-2.219603975,-5.418894116,-4.859170251,-6.740463123,-5.19350407,-3.965091154,-3.012412737,-3.011085769,-2.993986634,-3.022188458,-2.963831114,-3.003790989
Denmark,DNK,-1.779453456,-3.153204256,-2.597793619,-3.726187307,-3.85330845,-3.504455405,-2.397191916,-1.219483417,-0.282901542,1.063756064,1.791727345,1.125137272,0.25165075,0.139343231,2.234787113,5.201691237,5.286421772,5.307823106,3.462412162,-2.746179598,-2.520552751,-1.765509063,-3.202482068,-0.943708164,1.42804336,-0.895032327,0.302400024,1.688992774,0.81041496,4.282923047,0.362547763,4.120810258,3.389324657,3.430142281,4.458709929,1.80039534,0.367671656,-0.104744168,-0.187970993,-0.439004617,-0.545213076
Djibouti,DJI,-3.254455713,-0.862770785,-6.133449482,-7.098571465,-4.965438431,-5.13138191,-1.766043592,-2.857651208,-3.591979543,-5.196624376,-3.974235146,-3.606056493,-4.564852232,-4.134235474,-3.668533077,-1.178279166,0.261304102,-1.881283687,0.622777193,-3.882907841,-1.044644159,-1.184684174,-2.041902181,-0.337068401,-6.918022474,-15.54353464,-0.758172634,-0.211418765,-1.982985748,-0.981867747,-2.577226283,-3.054871931,-1.483605882,-3.4572517,-2.599102932,-1.037442771,-0.804064615,-0.564459596,-0.330111649,-0.106640226,0.119104226
Dominica,DMA,-4.872599004,-3.084127412,-2.278634965,-1.463213383,-3.418255981,-2.972669561,-1.618917739,-2.311473156,-6.076921186,-9.199378434,-8.748854076,-6.47624213,-4.132755676,0.879134974,-0.67070749,0.980914691,3.044612646,1.876791203,0.723673589,-0.310820914,-3.407318278,-4.335724367,-5.482576595,-2.946766644,-5.652784365,11.75285309,11.04321964,-3.370146892,-18.06424262,-7.954011958,-7.911317086,-8.606675133,-7.487374041,-4.663755952,-2.280289677,-2.155582118,-1.793530175,-1.386261675,-1.205649114,-0.893124827,-0.361925671
Dominican Republic,DOM,,,,,,,,-0.641463078,-0.288584864,-0.788346083,-0.858676582,-0.728470421,-2.277211224,-4.242187067,-3.598601834,-0.714283665,-1.687029185,0.281261603,-3.43037914,-2.895964654,-2.974784002,-3.06807134,-6.264826799,-4.412881457,-2.759536026,-0.033082318,-3.10946399,-3.12374396,-2.174641796,-3.457283582,-7.936116739,-2.92049125,-3.24898889,-3.280490921,-3.087044337,-3.413808691,-3.22272473,-2.968900663,-2.63551496,-2.300925712,-1.957473659
Ecuador,ECU,,,,,,-2.024094852,-3.440007398,-2.825145807,-5.099174806,-4.824863981,-0.320323599,0.032710162,0.738102337,1.045310643,1.941576414,0.660886986,2.921270772,2.658325399,0.568060481,-3.714036842,-1.385372952,-0.127193666,-2.834871903,-8.165211022,-8.106317115,-6.866372605,-10.2924849,-5.772174498,-2.80272647,-3.467604967,-7.375708682,-1.588786366,0.043648207,-3.481228173,-1.275538647,-1.20439885,-0.0486211,0.823964226,1.253056518,1.264113808,1.27355206
Egypt,EGY,,,,,,,,,,2.135181042,1.32027816,-1.06982542,-6.76778842,-5.729070408,-5.762199715,-6.687293436,-7.354560014,-4.898811489,-6.049311935,-6.195440023,-7.446819593,-9.600046002,-9.471082471,-12.27932601,-10.72266355,-10.37048173,-11.79614861,-9.8983807,-8.974733188,-7.595343102,-7.468626272,-6.955298585,-5.744635002,-5.768157156,-7.117604946,-12.35972495,-10.67813913,-8.076847396,-5.857400953,-4.411958568,-3.512351001
El Salvador,SLV,-0.612946594,-2.304632453,-4.288814221,-1.416472055,-0.943044881,-0.176867165,-2.702392576,-1.972370572,-2.939925956,-3.082454301,-3.44550201,-4.945072391,-5.504019204,-4.230173891,-2.75962747,-3.47257717,-3.416395391,-2.3239353,-3.800474691,-6.645643208,-4.966198343,-4.469854324,-3.807929988,-4.457195138,-4.017488239,-3.632141321,-3.104199753,-2.528224494,-2.705945425,-3.070369438,-8.178625571,-5.530462257,-2.683820131,-4.686447171,-4.549539606,-2.75649853,-1.976387256,-1.677809402,-2.137078096,-1.914006583,-1.599721981
Equatorial Guinea,GNQ,-160.1852513,-236.0355385,-557.4986031,-217.9360726,-487.312428,-123.4159248,-6.355378715,3.213610566,-7.651485524,-0.191127988,-2.667315266,14.90892618,17.59412696,9.993204088,9.2175412,18.54692496,21.79465642,17.15997262,14.61374224,-6.474637041,-4.533053248,0.834548968,-7.238722748,-4.403283572,-7.540969235,-15.09709085,-10.91693685,-2.590037528,0.522467842,1.823553452,-1.771039545,2.652518646,11.68288714,2.386551182,-0.55436067,-1.319758972,-1.987681977,-3.033330123,-3.597059522,-3.923379331,-3.640784641
Eritrea,ERI,,,6.852970971,4.223687456,8.690480879,-22.93464571,-18.40294823,-5.647864516,-40.34926296,-59.74224536,-25.40760758,-9.616395518,-13.28761606,6.234582277,-7.651012086,-30.97116806,-15.47985296,-19.82194436,-37.97589452,-22.15574924,-16.51646435,-5.501972422,-5.214572135,-7.624069253,-0.121696107,-2.765868618,-1.435204668,-5.736498526,5.223745833,2.717379839,,,,,,,,,,,
Estonia,EST,,,,,,-0.256884231,-0.930814295,2.979279041,0.647794652,-3.419697076,-0.112268131,0.399109642,0.293444483,1.665337178,2.28593473,1.065093672,2.706271166,2.503403881,-2.921861529,-3.428414284,-1.087896086,0.085724107,-0.855918207,-0.664320368,0.415270422,-0.242414767,-0.618330061,-1.065899302,-1.146383718,-0.109401076,-5.424109632,-2.569313023,-1.078891477,-3.125335785,-1.509340502,-1.498055553,-4.023767916,-3.790539342,-2.921926549,-2.780635652,-2.785099405
Eswatini,SWZ,5.613156654,3.40045432,-2.89841838,-3.292618623,-3.613529175,0.895985744,-1.000364835,2.107088705,1.071321058,-1.26916127,-1.222866807,-2.313105005,-3.782819974,-2.147151232,-4.09885869,-1.704063032,8.877772015,2.43513101,1.627293932,-3.055053551,-9.515509969,-4.017026654,3.483271626,0.585681872,-1.184673568,-6.029225736,-8.538120123,-5.682157016,-6.724159683,-6.260633875,-4.267881782,-4.678071592,-5.401293778,-0.667290198,-1.361949981,-4.733157318,-4.279805325,-2.898670428,-1.920505952,-1.423354435,-1.289671355
Ethiopia,ETH,-6.66234143,-5.826596569,-4.780213262,-4.002754641,-5.230469874,-2.677278203,-3.814448325,-1.701994904,-3.51143696,-8.230808193,-8.88036366,-3.760400444,-5.764230504,-5.592003549,-2.651278615,-4.12228972,-3.787920745,-3.567435102,-2.882350064,-0.932116785,-1.320751331,-1.607127794,-1.171938787,-1.930531162,-2.582291152,-1.947067005,-2.300454263,-3.243369513,-3.029069445,-2.533412526,-2.764306795,-2.767054972,-4.158727878,-2.59921462,-1.988786643,-1.5465,-1.717,-1.75,-1.75,-1.55,-1.55
Fiji,FJI,,,-2.13975004,-1.830889902,-0.190562647,0.767827977,-3.351468877,-4.48276478,5.21346506,1.09888248,-1.36669275,-4.404844547,-3.584986113,-3.339139959,-0.952479916,-1.1441011,-0.740544936,0.354388249,1.543488627,-2.764506212,-1.258244746,-0.686522662,-0.669215085,-0.07620479,-3.355773232,-3.79832438,-5.582510067,-2.221411221,-4.721241598,-3.665624816,-9.244770962,-14.60611858,-11.17937921,-6.823176461,-3.364831655,-3.653851724,-5.990277155,-4.259824479,-4.25631638,-4.323164972,-4.331788161
Finland,FIN,6.633349782,0.300834462,-4.88091465,-8.092345178,-6.406807293,-5.976395068,-3.370367828,-1.325340363,1.536979681,1.595895593,6.729429707,4.891676405,3.9746699,2.339929077,2.157602636,2.588876878,3.925119026,5.115498319,4.180115622,-2.483836355,-2.57458264,-1.012875971,-2.154927188,-2.5219045,-2.994826456,-2.426828804,-1.701303096,-0.629266686,-0.871908756,-0.932843643,-5.534145279,-2.692511778,-0.179232344,-2.984527657,-4.405663078,-4.558935789,-3.939564493,-3.701445441,-3.411646624,-3.495825329,-3.392308473
France,FRA,-2.454254173,-2.886603936,-4.641555903,-6.397030768,-5.460501637,-5.105305478,-3.894267242,-3.707819603,-2.390118828,-1.54501888,-1.316136835,-1.415685939,-3.175096463,-4.094857158,-3.55480901,-3.504949922,-2.655538588,-2.990289368,-3.500984925,-7.38318766,-7.158984507,-5.299385445,-5.168547235,-4.935689923,-4.571355874,-3.887213694,-3.762715525,-3.364914227,-2.321671861,-2.391687879,-8.930230913,-6.583671637,-4.737401738,-5.439607887,-5.77065484,-5.440554865,-5.840789089,-6.227513907,-6.242519725,-6.288554376,-6.342835766
Gabon,GAB,-3.83442429,-2.030771831,-4.896678632,-5.353771431,-1.529080533,2.643109812,2.115203535,1.407471586,-13.11337194,1.114115205,11.13195095,4.067452055,3.72426301,7.752375646,6.992646229,7.977280456,8.671886167,8.062386682,10.99433596,6.770050763,2.697552738,1.409810345,6.204178226,-3.06911062,5.979626098,-1.117194276,-4.710070204,-1.699244897,-0.211995909,2.12696834,-2.189963818,-1.926530316,-0.889533196,1.793099382,-3.835895993,-5.405919092,-7.234418743,-8.208831149,-8.785982594,-9.419641166,-10.08963358
"Gambia, The",GMB,,,,,,,,,,,-0.090777114,-2.522861367,0.059382814,-1.732202164,-1.7660224,-3.332376241,-3.193722105,0.274808161,-0.454398519,-1.647543535,-2.927866698,-3.027887968,-2.847695405,-5.106440234,-3.936774188,-5.375322951,-6.224009695,-4.348708194,-3.922607514,-2.746377979,-2.368863705,-4.766030179,-5.716026328,-3.692502975,-4.084452834,-1.013999936,-0.547699692,-0.487772587,-0.492221409,-0.501477042,-0.489796873
Georgia,GEO,,,,,,-4.885024644,-5.906459643,-6.787846068,-3.996811396,-4.723802915,-1.920674602,-0.707242068,-0.186328623,-0.547683272,3.591741748,2.144569128,3.283765303,0.809171858,-1.921929579,-6.364511803,-4.4765702,-0.807758806,-0.709675729,-1.248203606,-1.778733406,-1.163179005,-1.489762516,-0.451606319,-0.802560407,-1.824872335,-9.157584346,-5.972157247,-2.198270753,-2.328575838,-2.29507235,-2.274022182,-2.284851412,-2.190011753,-2.091242201,-2.096505476,-2.111115814
Germany,DEU,,-3.209768725,-2.631689758,-3.110098217,-2.542246548,-9.436663456,-3.638414154,-3.027226792,-2.649544333,-1.866467043,-1.714311205,-3.12462139,-4.086157887,-3.82950808,-3.421004431,-3.370841592,-1.755187167,0.154864646,-0.262968856,-3.175940368,-4.420975352,-0.839998398,-0.054335401,0.122519606,0.731520169,0.914762733,1.134103862,1.337219594,1.883122745,1.327262756,-4.379694672,-3.167279502,-1.908512329,-2.494459995,-2.66333562,-2.522550149,-3.367081373,-4.033122823,-4.04573399,-4.0499915,-4.049934858
Ghana,GHA,-1.926893564,-1.472630958,-4.500550692,-5.388498213,-4.994068551,-4.521015625,-5.612851309,-6.141985674,-5.270576376,-5.64441244,-3.980349925,-3.636638519,-2.725710203,-1.993635971,-2.024377737,-1.873773264,-3.107785552,-4.91490573,-5.55690453,-5.045795339,-7.128473724,-5.46526804,-8.35701711,-9.116924643,-7.812004068,-4.007388133,-6.745807467,-3.966311295,-6.791244372,-7.519198326,-17.44290029,-12.03182185,-11.75989217,-3.366265748,-7.313856892,-2.728438062,-1.906071424,-1.702515803,-1.924220526,-2.095171433,-2.513019327
Greece,GRC,-13.28910865,-9.627880461,-10.64575147,-11.45252968,-8.476811653,-9.868234658,-8.350544037,-6.247684211,-6.484636565,-6.024030839,-4.214857096,-5.64234492,-6.196889535,-8.046709861,-9.052688862,-6.329919794,-6.044828042,-6.806877795,-10.31476689,-15.42360831,-11.42445676,-10.49956997,-6.93709279,-4.058919601,-4.29245342,-3.030857724,0.280119001,1.05453137,0.778448385,-0.085876767,-10.33728292,-7.581774517,-2.455567412,-1.350817884,1.338954614,-0.008658985,-0.84661381,-1.431239149,-1.43586049,-1.444156767,-1.384138502
Grenada,GRD,-7.777378241,-4.33532418,-1.457174928,-0.156981512,-2.846063161,-0.460711031,-3.018867109,-4.939726983,-2.393968471,-1.70051405,-2.071379716,-6.052613158,-13.89709713,-2.814093839,-0.57479876,0.900878113,-5.228357104,-5.907320575,-3.717941834,-4.401824725,-4.071453438,-4.857361769,-5.440996999,-7.249729786,-4.197422554,-0.799688481,2.69081081,3.016159746,4.915150812,4.95563596,-4.54542046,0.327320602,0.930999624,7.941454265,6.659236161,-7.301686518,-1.615616575,0.151827698,0.137089329,0.110288176,0.207502799
Guatemala,GTM,,,,,,-0.528109906,0.037066655,-0.789871086,-2.291332639,-2.96190769,-1.876629031,-2.003346107,-1.0322005,-2.468632805,-1.04761479,-1.670119167,-1.878487661,-1.403011627,-1.569811649,-3.120003493,-3.277254046,-2.804110762,-2.416249523,-2.163820819,-1.921281986,-1.472112172,-1.110088955,-1.384181338,-1.880525562,-2.236042158,-4.909562254,-1.162111968,-1.695140176,-1.251580829,-0.960336906,-2.606651953,-2.663827429,-2.899885372,-2.815987877,-2.773430839,-2.841590138
Guinea,GIN,-3.755477352,-3.248325356,-0.890622714,-2.332215361,-2.591085319,-1.070797314,-2.201280485,0.066376189,2.460829468,-1.298691858,-2.420873733,-3.230052158,-3.373341625,-4.654864721,-3.84565937,-1.055376101,-2.128912003,1.280676807,0.384786589,-4.868053833,-9.660504287,-0.920975739,23.71737678,-3.85729885,-3.013821094,-6.530659711,-0.083787465,-1.984771793,-0.973695607,-0.16914342,-3.081455355,-1.704982408,-1.881004551,-3.858483459,-4.990655979,-3.2,-3,-2.7,-2.5,-2.3,-2.1
Guinea-Bissau,GNB,,1.60653672,-0.252381998,-0.337747663,-5.541399775,2.449644226,3.478052566,-2.55580984,-5.954428769,-4.064589499,-2.800830636,-1.825661848,-3.70366484,-5.627553397,-5.91951606,-4.960269796,-4.574471073,-8.774457664,-0.734810049,2.679352216,-0.225076328,-1.353676216,-2.122832796,-1.672842256,-2.435816657,-3.161462636,-5.341001642,-1.320655423,-4.764123282,-3.861457398,-9.637580006,-5.881596618,-6.056389938,-8.152103658,-7.255481353,-3.327067106,-3.441909825,-3.23496194,-3.027415064,-3.009052248,-2.971978253
Guyana,GUY,,,,,,,,-1.698401462,-2.669595173,-0.469013243,-2.273284215,-3.707531666,-2.419074747,-4.810227432,-2.879763768,-6.539737828,-6.162604353,-3.353008225,-2.775227521,-2.499213169,-1.879462026,-2.134031976,-3.111140107,-2.162880166,-3.876291655,-0.748888344,-3.212492523,-3.135258345,-2.519039715,-2.51689662,-7.781795605,-6.938519244,-5.111699914,-5.783961967,-7.311921786,-4.938658709,-4.478619644,-3.872224237,-2.81006017,-2.215314791,-0.676996757
Haiti,HTI,,,,,,,,0.372749145,0.210634407,-1.543847003,-1.356857804,-1.547886088,-1.80027984,-2.236055432,-1.343124892,-0.829425804,-0.908683503,-1.545154788,-1.799032972,-1.996162269,-1.497421279,-1.429844788,-2.711841755,-3.97560855,-3.640569657,-1.472288979,0.116524769,-0.315885032,-1.12648034,-1.994546616,-1.955966536,-2.453989435,-1.754313427,0.767689767,6.960532272,0.584269999,-0.202410662,-0.742766819,-1.218943353,-1.541700678,-1.784991387
Honduras,HND,-1.821085781,-1.94562009,-1.409156446,-5.03320174,-0.98257859,-0.244308963,0.126739629,0.080106047,2.893287968,1.3812497,1.508103363,-3.118870878,-5.015399323,-5.093454515,-2.475410019,-0.032652263,-1.355423713,-0.253748057,-0.266666666,-4.8648519,-3.371280219,-2.942645813,-3.483095592,-5.478633807,-2.810789825,-0.781103247,-0.397364584,-0.407754384,0.197209917,0.089128806,-4.584398533,-3.166575924,1.571418423,-1.964272743,-1.117655589,-1.606964933,-1.660291522,-1.507442333,-1.343449549,-1.271595756,-1.235601967
Hong Kong SAR,HKG,0.641679309,3.127492593,2.626541994,1.990420657,1.015467899,-0.273013267,2.019940335,6.317533066,-1.800939754,0.761944664,-0.587168782,-4.83634516,-4.77316517,-3.171906962,-0.30353307,0.970566069,4.000085923,7.336107349,0.247467858,1.53152734,4.136196365,3.769974082,3.14295421,1.007558469,3.592047619,0.595046743,4.387426689,5.492638769,2.349924081,-0.582612317,-9.229336633,0.008695119,-6.574536437,-5.649882563,-5.815825691,-4.818017447,-3.225546647,-1.542485607,-0.503472205,0.536002025,0.536002025
Hungary,HUN,,,,,,-8.570899406,-4.360066135,-5.538787249,-7.412519632,-5.267325754,-3.03768486,-3.995679764,-8.794130737,-7.191050738,-6.597284097,-7.786605509,-9.268702109,-5.085304625,-3.784907452,-4.75927749,-4.43619654,-5.219831526,-2.330587245,-2.598215609,-2.772976265,-2.002875396,-1.791645506,-2.454930103,-2.046415623,-2.024293397,-7.486859776,-7.110069124,-6.171605243,-6.7481651,-4.915172238,-4.684911596,-4.57324436,-4.586617415,-4.521117284,-4.359284433,-4.324613476
Iceland,ISL,-3.16097517,-0.65873468,-1.862893032,-4.355776441,-4.591717475,-2.870189931,-1.516760288,0.038100941,-0.556517256,1.300991948,1.427571417,-0.277591771,-2.250479374,-2.296545544,0.283731213,4.920873036,6.37407313,5.520187964,-12.02305238,-8.541802106,-6.581262067,-6.456985642,-2.590884798,-1.238514106,0.291996081,-0.391301853,12.37639155,0.965000118,0.94012346,-1.573472742,-8.731951908,-8.328350647,-3.928996134,-2.276266591,-3.506023997,-1.137852037,-0.627092806,-0.515876155,-0.314981332,-0.146392766,-0.041752036
India,IND,-8.068605227,-7.900176668,-7.893088544,-8.570184591,-7.996918945,-6.814407173,-6.705175578,-8.276099632,-9.742368673,-8.700689045,-8.408911673,-11.0329901,-11.07210554,-11.42809567,-9.221001824,-7.492562766,-6.380250222,-4.586463237,-9.170982291,-9.700886057,-8.794928004,-8.349151646,-7.549559685,-6.999618196,-7.071068563,-7.205084204,-7.120009714,-6.227235694,-6.339107592,-7.69407272,-12.86441879,-9.447938777,-8.968839756,-7.396680412,-7.900233681,-7.113009139,-7.15212593,-7.0890634,-6.942356172,-6.77379685,-6.631848787
Indonesia,IDN,,,,-0.588573955,0.00485037,0.640948135,0.962360913,-1.033756429,-1.893491985,-0.959390205,-1.869997613,-1.763397994,-0.576078316,-1.077269176,-0.260194006,0.461782595,0.450943402,-0.952682535,0.054113001,-1.644375355,-1.242440318,-0.703538423,-1.586458811,-1.955567548,-1.804539527,-2.723921553,-2.560963175,-2.263975689,-1.69005943,-2.090624146,-6.074859332,-4.404852088,-2.307064171,-1.641797331,-2.298553228,-2.789160116,-2.723982111,-2.732451102,-2.720318963,-2.715083155,-2.692120713
Iran,IRN,-1.728248877,-1.643028787,-0.857030196,-5.146048496,-3.358840643,-2.631070884,-0.749389468,-1.810065756,-5.029267924,-0.508877964,5.419458214,0.019823673,-2.882053804,-2.75652087,-2.445559974,-2.437942115,-4.909476633,-2.405199942,-4.387889383,-3.302406812,-0.84165571,-0.657153263,-0.499604561,-0.719531442,-0.906858054,-1.299085437,-1.700616607,-1.546984992,-1.587854015,-4.296650794,-4.867484232,-3.009270927,-2.638432373,-2.538886148,-3.829372939,-4.434518912,-4.266977048,-3.849904387,-3.681428028,-3.494293186,-3.361394377
Iraq,IRQ,,,,,,,,,,,,,,,-35.39817073,4.068681643,10.72068828,9.98037637,-0.855632589,-14.91419747,-4.178909482,4.744457625,4.093865283,-6.062282776,-5.630533749,-12.82965397,-14.44870207,-1.520809675,7.685295177,0.83378691,-12.81538056,-0.377012867,8.097763284,-1.140825791,-4.14320614,-6.294605176,-7.087350883,-6.81085571,-6.340093922,-6.163007914,-5.907068605
Ireland,IRL,-2.68986733,-2.796361503,-2.83838952,-2.623444951,-1.81608586,-2.073521435,-0.197394716,1.373198847,2.071216322,3.536980957,4.855202035,0.95938209,-0.519345873,0.346071151,1.298165226,1.570408559,2.775422354,0.267874359,-7.030536674,-13.87275838,-32.14498819,-13.47040509,-8.415429561,-6.276563756,-3.517236222,-1.972866566,-0.761851609,-0.297536045,0.090440896,0.406238316,-4.868021209,-1.367034976,1.667850929,1.524482161,4.085615696,1.046864691,0.865525584,0.755694037,0.88101294,0.946407031,0.820642696
Israel,ISR,,,,,,,,,,,-0.798355238,-4.055445745,-8.217294645,-5.030749984,-3.402294275,-2.74079224,-0.947631032,-0.431896198,-3.496091627,-6.526984934,-3.71829832,-3.431587661,-4.459263924,-4.062208175,-2.289605531,-1.210380675,-1.789339124,-1.131740805,-3.556931449,-3.789815549,-10.69986278,-3.371600565,0.318843732,-5.05655871,-8.262198359,-6.37289303,-5.50243073,-3.890966144,-4.194715728,-4.217319425,-4.48876046
Italy,ITA,-11.14149477,-11.08301028,-10.09044687,-9.756145595,-8.835113358,-7.19854218,-6.608281015,-2.980300267,-2.985920775,-1.774701711,-2.42009602,-3.180824424,-2.87977408,-3.226200634,-3.460922753,-4.098532893,-3.605442526,-1.325942799,-2.583959049,-5.056539741,-4.161392483,-3.524395998,-2.985487774,-2.874550813,-2.818500248,-2.459119883,-2.40466057,-2.508865035,-2.191991648,-1.450111637,-9.378789267,-8.879364432,-8.109313323,-7.238656464,-3.446202663,-3.302243282,-2.848117328,-2.678510274,-2.325437384,-2.40079529,-2.458060779
Jamaica,JAM,2.342954399,3.867242104,3.105262707,2.597473717,2.590111925,1.604999055,-5.315318327,-6.542564702,-5.818089627,-3.532492685,-0.798696853,-4.886735684,-6.766512293,-5.669744819,-4.681202648,-3.300941667,-4.901481964,-3.824748095,-7.429635527,-11.09505941,-6.274609569,-6.3425483,-4.050534777,0.118421365,-0.491467672,-0.279035793,-0.186509968,0.431904962,1.116441684,0.854907976,-2.832646268,0.88605264,0.269743095,0.035502966,0.222883564,0.006877507,-0.885233543,-0.759442822,-0.601732109,-0.563921453,-0.72258102
Japan,JPN,1.958746572,1.67480365,0.574339998,-2.390912309,-3.761947654,-4.295516835,-4.869165475,-3.526219434,-10.0468334,-6.748538404,-7.281846065,-6.200481178,-7.335969983,-7.433287523,-5.314176836,-4.4384803,-3.028812142,-2.901044111,-4.109685846,-9.692963811,-9.075810643,-8.985524144,-8.196479901,-7.611372977,-5.616051777,-3.677789665,-3.599609526,-3.098813357,-2.471407852,-3.044643867,-9.075077166,-6.127706108,-4.214704369,-2.260709488,-1.529777486,-1.258703674,-2.027933287,-2.539558147,-3.121983633,-3.746464478,-4.395355427
Jordan,JOR,-7.45351832,-10.15218798,1.87347393,-2.141623357,-2.299640946,-1.717366899,-3.245276278,-2.974171413,-5.395715712,-2.693094985,-3.994888359,-2.76963205,-4.437498232,-2.517028493,-1.088715862,-5.358541232,-3.820385946,-5.453953584,-5.378388864,-8.656810484,-5.425062486,-5.605818105,-13.84873204,-16.1071203,-15.49016104,-7.096890444,-3.705024417,-3.612803788,-5.782503693,-7.186850492,-10.10680837,-8.451027447,-6.796626868,-6.887706558,-7.329045249,-7.484323397,-6.009782043,-4.175087343,-3.109909126,-3.33919557,-3.795579737
Kazakhstan,KAZ,,,,,,,,,,,,,1.92388776,3.996048749,3.287320031,6.077754759,7.652628519,5.134414782,1.227135161,-1.328048731,1.469692441,5.811035754,4.430881585,4.945693553,2.48184788,-6.259289215,-4.50321692,-4.265508721,2.579564376,-0.569542694,-7.036915965,-4.966052048,0.105380592,-1.522576773,-1.597178967,-2.453034259,-2.34239589,-2.071586514,-1.749513733,-1.267094431,-0.951247169
Kenya,KEN,-3.279702298,-6.561075358,-8.27627787,-8.574595375,-4.14206642,-0.229639622,-0.490415156,-0.906770435,-0.027659466,0.842649942,0.38076292,-0.527688897,-1.294554267,-0.72752084,0.502332506,-0.193357569,-0.432196925,-0.954213215,-1.951632016,-3.124429861,-3.673265481,-3.638726354,-5.287786928,-5.24594006,-5.753333226,-6.682220835,-7.469093865,-7.395751786,-6.935510088,-7.415140753,-8.133521958,-7.196172613,-6.056819244,-5.713593096,-5.76919573,-5.963844183,-5.636257355,-5.11048923,-4.905817015,-4.805891456,-4.746102545
Kiribati,KIR,-4.620039441,3.873763638,0.789093847,6.266569828,0.741085055,-5.143114561,-20.24614766,5.918991179,14.58340473,-1.810709034,-0.028544231,-10.87471508,3.127581583,-8.933003642,-19.20168321,-9.957022147,-12.27071789,-12.47260315,-15.82913391,-8.563751871,-7.796260434,-17.55524668,-5.425857554,11.75693904,34.97326563,42.51753307,20.10158957,34.08541943,5.181633722,10.82180638,3.572936543,-10.76723069,-18.30759633,0.128291348,-22.00002312,-15.14250443,-16.79040463,-15.13606747,-13.62268829,-15.28214378,-15.44820985
"Korea, Republic of",KOR,,,,,,2.159946146,2.298685779,2.314889153,1.090699332,1.14534931,3.905181724,2.419900505,3.228798559,1.508541538,0.086273484,0.954786367,1.184913077,2.494124982,1.58103653,0.239356349,1.60644497,1.720757224,1.630585653,0.789464588,0.572968391,0.496847383,1.563097969,2.07663613,2.424096448,0.350633146,-2.10535367,-0.018632594,-1.491749483,-0.669244198,-0.783187987,-1.517363807,-1.356418923,-1.408928473,-1.350682488,-1.176101582,-1.036728592
Kosovo,XKX,,,,,,,,,,,-3.152772476,2.922245086,3.394641418,1.570293813,-4.618969711,-2.285693731,2.643792612,6.682631732,0.039073402,1.618183195,-1.009465804,-1.036484516,-2.673811072,-3.420374123,-2.650188546,-2.115887544,-1.70870994,-1.425765024,-2.861426369,-2.926952971,-7.811442395,-1.243767995,-0.740070204,-0.233108565,-0.282167027,-1.499648084,-1.975084841,-2.033151383,-2.024495606,-2.045705134,-2.013852194
Kuwait,KWT,-49.96048168,-144.98087,-28.05650799,-3.121417405,1.757472832,11.69723852,24.27461595,29.49262913,19.49259152,28.15219666,52.5105039,45.17432064,31.0397572,27.21184338,32.50935902,38.9366475,27.98619981,37.06934229,21.34484097,31.32858467,31.90745974,38.75110596,40.67314762,40.56849784,29.99996798,16.58080925,13.07773789,15.25449462,17.52078253,12.96890153,0.141432971,9.983812528,29.98690284,28.21577818,23.79075523,26.75921838,26.49966087,26.24794693,25.69311332,25.09849381,24.67567163
Kyrgyz Republic,KGZ,,,,,,-13.51701149,-9.095616879,-9.304490651,-11.96466933,-13.52278393,-10.69669466,-6.747459221,-5.900032633,-5.1693277,-4.891663885,-3.789101182,-2.095369146,1.276876611,1.924070328,0.377512204,-5.946895222,-4.70461583,-5.861999576,-3.699422342,-3.068269881,-2.516820407,-5.79019542,-3.732926298,-0.590098958,-0.074065283,-3.062198662,-0.707428184,-0.293720852,1.586390352,1.868415454,-2.468397068,-2.337392224,-3.24171915,-2.647482522,-2.306531716,-2.687162215
Lao P.D.R.,LAO,,,,,,,,,,,-3.575557095,-3.682978912,-2.84963731,-3.885364168,-1.810630608,-2.541809089,-1.481897626,-1.123091609,-1.857968543,-3.095611839,-1.46913684,-1.429071373,-2.344185332,-4.030674231,-3.132231383,-5.570364601,-5.060118303,-5.508671605,-4.464936877,-3.202639057,-5.366609598,-0.669214669,0.059289565,-0.01224195,2.339100522,0.442163075,1.621498046,1.406193857,1.233070921,1.037123799,0.911253665
