Net lending/borrowing (also referred as overall balance) (% of GDP),Country code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Azerbaijan,AZE,,,,,3.205108016,-1.340088106,-2.253199341,-0.93696833,1.63119009,-1.032786477,0.144727517,21.76404562,19.39308714,1.604626259,1.781438087,2.740818919,0.662965133,2.33710871,17.19381939,5.856568808,13.83124453,10.85964091,3.705480028,1.643475099,2.742339379,-4.833042593,-1.169922061,-1.342225689,5.429018068,8.954855927,-6.44035261,4.205292786,5.963105133,7.920721955,4.056867766,-1.911317001,-1.995603355,-1.887642197,-1.66071823,-1.436246544,-1.329008391
"Bahamas, The",BHS,-2.643971527,-2.289127573,-2.231197883,-1.054192999,-0.389927384,0.175786765,-0.150162888,-1.55558223,-0.411934184,1.679885847,0.090769665,0.29797426,-1.615081106,-1.629713467,-1.927426585,-1.109158288,-0.431424362,-0.756624784,-0.827968979,-2.4530152,-2.555487428,-2.87195785,-3.154163519,-5.157879244,-4.377085726,-3.238217608,-2.609704125,-5.915074472,-3.236547139,-1.65153508,-8.09124324,-11.08919714,-5.162359247,-3.492932614,-1.179396367,-0.752603282,-0.61664022,-0.586879589,-0.476557453,-0.091123943,0.027687574
Bahrain,BHR,-6.788007987,-3.467783906,-5.405337204,-2.765784572,-5.17710713,-3.98847199,0.242215022,-6.386575227,-5.491379584,-4.849368105,7.327271469,0.695393229,-3.272278377,-1.703042969,0.23689508,2.795563658,2.242465006,1.52149519,4.083106142,-5.358531684,-9.285842991,-4.901220545,-5.765648744,-8.545164273,-3.318628946,-17.46163968,-16.57913993,-13.37697284,-11.27566493,-8.566521934,-17.30468692,-10.57015458,-6.024186772,-9.674780027,-10.61581399,-10.69620955,-9.877359147,-9.421285761,-9.54918903,-9.518492681,-9.662387746
Bangladesh,BGD,-0.153149058,0.442274508,0.355790684,0.426016452,0.032056048,-0.376739331,-2.014710377,-1.940527594,-2.196612848,-1.349645487,-2.495755872,-3.439108826,-2.304819079,-1.957904162,-2.207668024,-2.398161728,-2.147528073,-1.86386098,-3.364729062,-2.679681507,-2.233345862,-2.964583095,-2.556051327,-2.856794877,-2.619012618,-3.289744759,-3.162914558,-4.166970951,-4.068500194,-5.408185284,-4.840447187,-3.555291077,-4.527664664,-4.387785479,-3.694876981,-3.790186347,-3.940205187,-4.454899363,-4.963198641,-4.997090602,-5.133217106
Barbados,BRB,,,,,6.721087084,6.224077527,3.755822764,5.643486138,6.026649582,5.392619932,4.941860471,4.065881932,-5.283451444,-3.082318699,-2.972709628,-3.028239544,-3.408736133,-4.335199669,-4.102604533,-6.560607575,-7.550068313,-3.626351197,-7.074631594,-8.982347289,-6.568235764,-8.1649827,-4.882041732,-3.887235593,-0.344721543,3.083451645,-4.156200333,-4.651986725,-1.957238219,-1.714913037,-0.890418876,-0.343813829,0.069886294,0.283393485,0.290216853,0.473090263,0.524389803
Belarus,BLR,,,,,,,,,,,,-4.738411381,-7.807180093,-6.739276111,-7.063404255,-6.706171323,-7.705104203,-7.820929775,-10.90631239,-7.231963268,-4.186628048,-2.805920045,0.359824811,-0.981959041,0.092110405,-2.963639129,-1.659082683,-0.336524545,1.804798377,0.909551694,-2.870345608,-0.222817167,-1.976024296,0.758292243,1.047327852,0.79985522,1.161650967,1.031664621,0.918753913,1.010444243,1.027466299
Belgium,BEL,-6.992698688,-7.67209417,-8.419807912,-7.708478406,-5.287615881,-4.508527721,-4.002557306,-2.151262154,-1.025259646,-0.648348383,-0.079570631,0.232659315,-0.043549066,-1.864146998,-0.238528401,-2.715159804,0.239580995,0.066643579,-1.095402041,-5.447539074,-4.133332599,-4.441487325,-4.348397674,-3.163573794,-3.175136248,-2.475345215,-2.430992352,-0.763179735,-1.048331636,-2.04798872,-9.034609164,-5.401869787,-3.61976903,-4.096094948,-4.519654389,-5.528125081,-5.484394463,-5.606943053,-5.860282015,-6.14046215,-6.402574564
Belize,BLZ,,,,,,,-1.762220464,-1.807476237,-2.689487134,-6.512118743,-6.682499695,-7.234462037,-5.406545588,-8.411273663,-4.521919228,-3.703042333,-2.270219273,-0.187200675,1.253341932,-2.463511283,-1.903363526,-1.055774303,-0.223679217,-1.208390504,-1.72372759,-5.143062908,-4.47274636,-3.48094765,-1.36647748,-2.902252728,-8.566631019,-3.290641574,-1.043235874,-2.424285169,-1.230746243,-1.130482677,-1.511295169,-1.812683312,-1.703861447,-1.604186216,-1.546310103
Benin,BEN,-2.373390555,-2.251836156,-1.983949184,-0.413379827,-1.56626089,-1.913124195,-0.108263045,0.468233153,1.832176761,1.944146944,-3.692199256,-3.269426664,-3.329892397,-1.072040365,-0.704772656,-1.523283516,-0.146542915,0.222004233,-0.040904611,-2.241002705,-0.275538513,-0.981309004,-0.215565666,-1.365033987,-1.650544396,-5.552835897,-4.288630665,-4.180999389,-2.958164481,-0.528388796,-4.681770031,-5.708796967,-5.554597428,-4.129498784,-3.06404866,-2.9,-2.9,-2.9,-2.9,-2.9,-2.9
Bhutan,BTN,-7.214599905,-0.481212647,-3.470868576,4.707196343,-0.128960316,-0.884772401,2.554131886,-1.915705039,1.277011175,-1.280828312,-3.390786914,-12.16931354,-4.331855162,-10.21266836,1.800349594,-6.961596337,-0.073499299,0.792763004,-2.565681598,-0.801303145,1.922749949,-3.024263827,-2.102156551,-4.545432542,2.456005598,-0.489793824,-2.30885341,-4.491891906,-1.5189518,-1.485664255,-1.806711059,-5.760397511,-6.95151526,-4.7262195,-0.165749697,-2.634618659,-4.434529625,-3.752637343,-4.281076289,-4.644582771,-3.841981656
